symbol,feed_id_hex,asset_type
Crypto.BONK/USD,0x72b021217ca3fe68922a19aaf990109cb9d84e9ad004b4d2025ad6f529314419,Crypto
Crypto.BORG/USD,0xef3f94c52ecc3a624fa0fa51ab2b562f70d8f98ff505bb36cbc08c22b1aff628,Crypto
Crypto.BRETT/USD,0x9b5729efe3d68e537cdcb2ca70444dea5f06e1660b562632609757076d0b9448,Crypto
Crypto.BROCCOLI/USD,0x1e59fcdb59fe2bc6b093dab0bf32a66bf2e8258d07fd14601230905810af97aa,Crypto
Crypto.BSOL/SOL.RR,0xa90abc3ecdc402429a31d25972becc7d09975fc1e69f0995c030396efe298857,Crypto Redemption Rate
Crypto.BSOL/USD,0x89875379e70f8fbadc17aef315adf3a8d5d160b811435537e03c97e8aac97d9c,Crypto
Crypto.BSV/USD,0xb44565b8b9b39ab2f4ba792f1c8f8aa8ef7d780e709b191637ef886d96fd1472,Crypto
Crypto.BTC/USD,0xe62df6c8b4a85fe1a67db44dc12de5db330f7ac66b72dc658afedf0f4a415b43,Crypto
Crypto.BTT/USD,0x097d687437374051c75160d648800f021086bc8edf469f11284491fda8192315,Crypto
Crypto.BUCK/USD,0xfdf28a46570252b25fd31cb257973f865afc5ca2f320439e45d95e0394bc7382,Crypto
Crypto.BUCKET.USDB/USD,0xf85d863ce3b640bf85307be333dedc563aa3a27961c9042f89ed8300ebd3c855,Crypto
Crypto.BUDDY/USD,0xac2adf4571a391da22a2d39e8c5eb32ceecd6ab38c386a9194d669deece74dee,Crypto
Crypto.BYUSD/USD,0x00456705ae9007ea761e95c724035a23a62fe9e444bbc744e11af7f050ab53c3,Crypto
Crypto.C98/USD,0x2dd14c7c38aa7066c7a508aac299ebcde5165b07d5d9f2d94dfbfe41f0bc5f2e,Crypto
Crypto.CAKE/USD,0x2356af9529a1064d41e32d617e2ce1dca5733afa901daba9e2b68dee5d53ecf9,Crypto
Crypto.CAMP/USD,0x6b52828e0be26ba128cc12715e7b72bded8871736efd3f214cf1db86567fb755,Crypto
Crypto.CARV/USD,0x657367f1b841c536f173386991f725dd3f9e7f1ae028bb9f52e1e4d80ed829ec,Crypto
Crypto.CASH/RD.RR,0x64c74ffd61574170cfaee65c54c8810adcf83f6c31f3c256d9a290dcbf4ff1a9,Crypto Redemption Rate
Crypto.CASH/USD,0xdf3320ef0f4617337b8dbb924f2aaa4f9db08f522a5435b44f9066c1ac4c7f95,Crypto
Crypto.CAT/USD,0xdf7b724fae4b9ecfd6081effb1ea3bb3b5c250c3641cf903b4d8fb10f4f452df,Crypto
Crypto.CBBTC/USD,0x2817d7bfe5c64b8ea956e9a26f573ef64e72e4d7891f2d6af9bcc93f7aff9a97,Crypto
Crypto.CBDOGE/USD,0x7eab5e260e42d81013207e623be60c66c9c55bfe0ace4797ad00d1c5a1335eae,Crypto
Crypto.CBETH/ETH.RR,0xed5d938ea5c648f66a3b7dd349376356c1d95135307137f4d1200eb36e9f5c12,Crypto Redemption Rate
Crypto.CBETH/USD,0x15ecddd26d49e1a8f1de9376ebebc03916ede873447c1255d2d5891b92ce5717,Crypto
Crypto.CBXRP/USD,0x95fd9e16d4cfc5d1370f32bb0bf2346860ad9c92fec83acf4ca263baf16c961d,Crypto
Crypto.CC/USD,0x6ab14405cf8ba0c89d135ddb5ed4fc5c668c7458ff7ebe2f66f358a458e94196,Crypto
Crypto.CELO/USD,0x7d669ddcdd23d9ef1fa9a9cc022ba055ec900e91c4cb960f3c20429d4447a411,Crypto
Crypto.CELR/USD,0x20841878a1c4d3ea4587603e2cb55b32afae64402f281652f5a3b94155ff27e9,Crypto
Crypto.CETUS/USD,0xe5b274b2611143df055d6e7cd8d93fe1961716bcd4dca1cad87a83bc1e78c1ef,Crypto
Crypto.CFX/USD,0x8879170230c9603342f3837cf9a8e76c61791198fb1271bb2552c9af7b33c933,Crypto
Crypto.CHILLGUY/USD,0xd98869edbb4a0d2803dc1054405bceb1ddc546bfc9a3d0e31bb0e0448e6181e1,Crypto
Crypto.CHR/USD,0xbd4dbcbfd90e6bc6c583e07ffcb5cb6d09a0c7b1221805211ace08c837859627,Crypto
Crypto.CHZ/USD,0xe799f456b358a2534aa1b45141d454ac04b444ed23b1440b778549bb758f2b5c,Crypto
Crypto.CLANKER/USD,0x17392e15ef0b746ae7cfe25a97b0d66f4bb2792a39ebeb46bbffab8b1d2544d5,Crypto
Crypto.CLOUD/USD,0x7358313661dcd4f842a1423aa4f7a05f009001c9113201c719621d3f1aa80a73,Crypto
Crypto.CMETH/METH.RR,0xcef5ad3be493afef85e77267cb0c07d048f3d54055409a34782996607e48cf0a,Crypto Redemption Rate
Crypto.COINX/COIN.RR,0xb663e208031820ed2ea373346501ceb897f230623439482f0e2a13150af08549,Crypto Redemption Rate
Crypto.COINX/USD,0x641435d5dffb5311140b480517c79986d8488d5cf08a11eec53b83ad02cab33f,Crypto
